Publication,Type,Method,Period,Revenue,Subscribers,Subscriptions,ARPU,Cancelations,Reason,Voluntary Churn,Involuntary Churn
ST,Corporate,Digital,2024-10-16,1093,1102,3306,0.9918330308529946,110,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1331,684,684,1.945906432748538,68,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1010,197,1182,5.126903553299492,19,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1060,2991,14955,0.35439652290203943,299,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1277,641,2564,1.9921996879875195,64,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1327,2534,12670,0.5236779794790845,253,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1114,1780,10680,0.6258426966292134,178,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1126,1313,7878,0.8575780654988576,131,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1093,1102,3306,0.9918330308529946,110,Expired CC,Yes,No
All,All,All,2024-10-17,1331,684,684,1.945906432748538,68,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1010,197,1182,5.126903553299492,19,Expired CC,No,Yes
All,All,All,2024-10-19,1060,2991,14955,0.35439652290203943,299,Deaseaed,Yes,No
All,All,All,2024-10-20,1277,641,2564,1.9921996879875195,64,Expired CC,Yes,Yes
All,All,All,2024-10-21,1327,2534,12670,0.5236779794790845,253,Deaseaed,No,Yes
All,All,All,2024-10-22,1114,1780,10680,0.6258426966292134,178,Expired CC,Yes,No
All,All,All,2024-10-23,1126,1313,7878,0.8575780654988576,131,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1472,2064,2064,0.7131782945736435,206,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1040,2769,19383,0.3755868544600939,276,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1116,1378,5512,0.8098693759071117,137,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1212,1388,9716,0.8731988472622478,138,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1320,1667,13336,0.7918416316736653,166,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1240,326,2934,3.803680981595092,32,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1229,1902,15216,0.6461619348054679,190,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1246,528,2640,2.359848484848485,52,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1472,2064,2064,0.7131782945736435,206,Expired CC,Yes,No
All,All,All,2024-10-17,1040,2769,19383,0.3755868544600939,276,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1116,1378,5512,0.8098693759071117,137,Expired CC,No,Yes
All,All,All,2024-10-19,1212,1388,9716,0.8731988472622478,138,Deaseaed,Yes,No
All,All,All,2024-10-20,1320,1667,13336,0.7918416316736653,166,Expired CC,Yes,Yes
All,All,All,2024-10-21,1240,326,2934,3.803680981595092,32,Deaseaed,No,Yes
All,All,All,2024-10-22,1229,1902,15216,0.6461619348054679,190,Expired CC,Yes,No
All,All,All,2024-10-23,1246,528,2640,2.359848484848485,52,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1227,725,1450,1.6924137931034482,72,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1408,1030,10300,1.366990291262136,103,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1332,1191,9528,1.1183879093198992,119,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1281,258,2322,4.965116279069767,25,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1392,993,3972,1.4018126888217524,99,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1309,1450,4350,0.9027586206896552,145,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1311,1655,8275,0.7921450151057402,165,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1051,2166,8664,0.48522622345337024,216,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1227,725,1450,1.6924137931034482,72,Expired CC,Yes,No
All,All,All,2024-10-17,1408,1030,10300,1.366990291262136,103,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1332,1191,9528,1.1183879093198992,119,Expired CC,No,Yes
All,All,All,2024-10-19,1281,258,2322,4.965116279069767,25,Deaseaed,Yes,No
All,All,All,2024-10-20,1392,993,3972,1.4018126888217524,99,Expired CC,Yes,Yes
All,All,All,2024-10-21,1309,1450,4350,0.9027586206896552,145,Deaseaed,No,Yes
All,All,All,2024-10-22,1311,1655,8275,0.7921450151057402,165,Expired CC,Yes,No
All,All,All,2024-10-23,1051,2166,8664,0.48522622345337024,216,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1088,1820,9100,0.5978021978021978,182,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1174,121,121,9.702479338842975,12,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1038,1707,17070,0.6080843585237259,170,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1365,1016,5080,1.343503937007874,101,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1392,1320,10560,1.0545454545454545,132,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1153,1410,1410,0.8177304964539007,141,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1458,2789,5578,0.5227680172104697,278,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1057,2158,21580,0.48980537534754404,215,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1088,1820,9100,0.5978021978021978,182,Expired CC,Yes,No
All,All,All,2024-10-17,1174,121,121,9.702479338842975,12,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1038,1707,17070,0.6080843585237259,170,Expired CC,No,Yes
All,All,All,2024-10-19,1365,1016,5080,1.343503937007874,101,Deaseaed,Yes,No
All,All,All,2024-10-20,1392,1320,10560,1.0545454545454545,132,Expired CC,Yes,Yes
All,All,All,2024-10-21,1153,1410,1410,0.8177304964539007,141,Deaseaed,No,Yes
All,All,All,2024-10-22,1458,2789,5578,0.5227680172104697,278,Expired CC,Yes,No
All,All,All,2024-10-23,1057,2158,21580,0.48980537534754404,215,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1145,2233,2233,0.5127630989699955,223,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1414,1439,5756,0.9826268241834607,143,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1378,2250,20250,0.6124444444444445,225,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1080,1804,12628,0.5986696230598669,180,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1005,434,4340,2.315668202764977,43,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1034,1711,1711,0.6043249561659848,171,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1244,1713,13704,0.7262113251605371,171,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1281,1025,10250,1.2497560975609756,102,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1145,2233,2233,0.5127630989699955,223,Expired CC,Yes,No
All,All,All,2024-10-17,1414,1439,5756,0.9826268241834607,143,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1378,2250,20250,0.6124444444444445,225,Expired CC,No,Yes
All,All,All,2024-10-19,1080,1804,12628,0.5986696230598669,180,Deaseaed,Yes,No
All,All,All,2024-10-20,1005,434,4340,2.315668202764977,43,Expired CC,Yes,Yes
All,All,All,2024-10-21,1034,1711,1711,0.6043249561659848,171,Deaseaed,No,Yes
All,All,All,2024-10-22,1244,1713,13704,0.7262113251605371,171,Expired CC,Yes,No
All,All,All,2024-10-23,1281,1025,10250,1.2497560975609756,102,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1166,1221,1221,0.954954954954955,122,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1101,2584,7752,0.42608359133126933,258,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1263,1343,2686,0.9404318689501117,134,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1141,803,3212,1.4209215442092153,80,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1468,215,860,6.8279069767441865,21,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1395,898,7184,1.5534521158129175,89,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1007,578,5202,1.7422145328719723,57,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1306,731,4386,1.786593707250342,73,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1166,1221,1221,0.954954954954955,122,Expired CC,Yes,No
All,All,All,2024-10-17,1101,2584,7752,0.42608359133126933,258,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1263,1343,2686,0.9404318689501117,134,Expired CC,No,Yes
All,All,All,2024-10-19,1141,803,3212,1.4209215442092153,80,Deaseaed,Yes,No
All,All,All,2024-10-20,1468,215,860,6.8279069767441865,21,Expired CC,Yes,Yes
All,All,All,2024-10-21,1395,898,7184,1.5534521158129175,89,Deaseaed,No,Yes
All,All,All,2024-10-22,1007,578,5202,1.7422145328719723,57,Expired CC,Yes,No
All,All,All,2024-10-23,1306,731,4386,1.786593707250342,73,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1030,1695,16950,0.6076696165191741,169,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1117,1863,3726,0.5995705850778315,186,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1426,2946,26514,0.48404616429056346,294,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1361,2147,2147,0.6339077782952958,214,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1462,2654,2654,0.5508666164280331,265,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1250,1185,8295,1.0548523206751055,118,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1434,1779,1779,0.806070826306914,177,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1112,1892,18920,0.587737843551797,189,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1030,1695,16950,0.6076696165191741,169,Expired CC,Yes,No
All,All,All,2024-10-17,1117,1863,3726,0.5995705850778315,186,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1426,2946,26514,0.48404616429056346,294,Expired CC,No,Yes
All,All,All,2024-10-19,1361,2147,2147,0.6339077782952958,214,Deaseaed,Yes,No
All,All,All,2024-10-20,1462,2654,2654,0.5508666164280331,265,Expired CC,Yes,Yes
All,All,All,2024-10-21,1250,1185,8295,1.0548523206751055,118,Deaseaed,No,Yes
All,All,All,2024-10-22,1434,1779,1779,0.806070826306914,177,Expired CC,Yes,No
All,All,All,2024-10-23,1112,1892,18920,0.587737843551797,189,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1168,2168,15176,0.5387453874538746,216,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1218,1112,1112,1.0953237410071943,111,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1083,2868,28680,0.3776150627615063,286,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1153,2034,2034,0.5668633235004916,203,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1000,2777,2777,0.3601008282319049,277,Expired CC,Yes,Yes
